"outlet_name","political_leaning","link","domain","domain_stripped","source","factuality","bias","qr_check"
"The Economic Times","Right-Center","http://economictimes.indiatimes.com/","economictimes.indiatimes.com","indiatimes","MBFC","mixed","Questionable","questionable"
"Gulf News","Right-Center","http://gulfnews.com/","gulfnews.com","gulfnews","MBFC","mixed","Questionable","questionable"
"Al Bawaba","Right-Center","http://www.albawaba.com/","www.albawaba.com","albawaba","MBFC","mixed","Questionable","questionable"
"Arab News","Right-Center","http://www.arabnews.com/","www.arabnews.com","arabnews","MBFC","mixed","Questionable","questionable"
"Emirates 24/7","Right-Center","http://www.emirates247.com/","www.emirates247.com","emirates247","MBFC","mixed","Questionable","questionable"
"The National (UAE)","Right-Center","http://www.thenational.ae/","www.thenational.ae","thenational","MBFC","mixed","Questionable","questionable"
"Washington Times","Right-Center","http://www.washingtontimes.com/","www.washingtontimes.com","washingtontimes","MBFC","mixed","Questionable","questionable"
"Antelope Valley Today","Right-Center","https://antelopevalleytoday.com/","antelopevalleytoday.com","antelopevalleytoday","MBFC","mixed","Questionable","questionable"
"Auburn Times","Right-Center","https://auburntimes.com/","auburntimes.com","auburntimes","MBFC","mixed","Questionable","questionable"
"Baldwin Times","Right-Center","https://baldwintimes.com/","baldwintimes.com","baldwintimes","MBFC","mixed","Questionable","questionable"
"Benton Times","Right-Center","https://bentontimes.com/","bentontimes.com","bentontimes","MBFC","mixed","Questionable","questionable"
"Central OC Times","Right-Center","https://centraloctimes.com/","centraloctimes.com","centraloctimes","MBFC","mixed","Questionable","questionable"
"Chico Times","Right-Center","https://chicotimes.com/","chicotimes.com","chicotimes","MBFC","mixed","Questionable","questionable"
"Coachella Today","Right-Center","https://coachellatoday.com/","coachellatoday.com","coachellatoday","MBFC","mixed","Questionable","questionable"
"Coconino News","Right-Center","https://coconinonews.com/","coconinonews.com","coconinonews","MBFC","mixed","Questionable","questionable"
"Decatur Times","Right-Center","https://decaturtimes.com/","decaturtimes.com","decaturtimes","MBFC","mixed","Questionable","questionable"
"DNyuz","Right-Center","https://dnyuz.com/","dnyuz.com","dnyuz","MBFC","mixed","Questionable","questionable"
"East Alameda News","Right-Center","https://eastalamedanews.com/","eastalamedanews.com","eastalamedanews","MBFC","mixed","Questionable","questionable"
"East Arizona News","Right-Center","https://eastarizonanews.com/","eastarizonanews.com","eastarizonanews","MBFC","mixed","Questionable","questionable"
"East Contra Costa News","Right-Center","https://eastcontracostanews.com/","eastcontracostanews.com","eastcontracostanews","MBFC","mixed","Questionable","questionable"
"East Little Rock Times","Right-Center","https://eastlittlerocktimes.com/","eastlittlerocktimes.com","eastlittlerocktimes","MBFC","mixed","Questionable","questionable"
"East Central Alabama News","Right-Center","https://ecalabamanews.com/","ecalabamanews.com","ecalabamanews","MBFC","mixed","Questionable","questionable"
"The Majalla","Right-Center","https://eng.majalla.com/","eng.majalla.com","majalla","MBFC","mixed","Questionable","questionable"
"Al Arabiya","Right-Center","https://english.alarabiya.net/","english.alarabiya.net","alarabiya","MBFC","mixed","Questionable","questionable"
"Facts Wanted","Right-Center","https://factswanted.com","factswanted.com","factswanted","MBFC","mixed","Questionable","questionable"
"Fayetteville Standard","Right-Center","https://fayettevillestandard.com/","fayettevillestandard.com","fayettevillestandard","MBFC","mixed","Questionable","questionable"
"Fort Smith Times","Right-Center","https://fortsmithtimes.com/","fortsmithtimes.com","fortsmithtimes","MBFC","mixed","Questionable","questionable"
"Gadsden Today","Right-Center","https://gadsdentoday.com/","gadsdentoday.com","gadsdentoday","MBFC","mixed","Questionable","questionable"
"Grand Canyon Times","Right-Center","https://grandcanyontimes.com/","grandcanyontimes.com","grandcanyontimes","MBFC","mixed","Questionable","questionable"
"Hot Springs Times","Right-Center","https://hotspringstimes.com/","hotspringstimes.com","hotspringstimes","MBFC","mixed","Questionable","questionable"
"Huntsville Leader","Right-Center","https://huntsvilleleader.com/","huntsvilleleader.com","huntsvilleleader","MBFC","mixed","Questionable","questionable"
"Interior Alaska News","Right-Center","https://interioralaskanews.com/","interioralaskanews.com","interioralaskanews","MBFC","mixed","Questionable","questionable"
"Jefferson Reporter","Right-Center","https://jeffersonreporter.com/","jeffersonreporter.com","jeffersonreporter","MBFC","mixed","Questionable","questionable"
"Jonesboro Times","Right-Center","https://jonesborotimes.com/","jonesborotimes.com","jonesborotimes","MBFC","mixed","Questionable","questionable"
"Last Frontier News","Right-Center","https://lastfrontiernews.com/","lastfrontiernews.com","lastfrontiernews","MBFC","mixed","Questionable","questionable"
"Lowe Delta News","Right-Center","https://lowedeltanews.com/","lowedeltanews.com","lowedeltanews","MBFC","mixed","Questionable","questionable"
"Mat-Su Times","Right-Center","https://matsutimes.com/","matsutimes.com","matsutimes","MBFC","mixed","Questionable","questionable"
"Metric Media","Right-Center","https://metricmedianews.com/","metricmedianews.com","metricmedianews","MBFC","mixed","Questionable","questionable"
